Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-14T09:15:00-04:00,2022-07-14 09:15:00,83.5,91.6,75.5,1.8,2.2,4.5,27,0,0,0.01,0.04,0.33,236.22,29.96,77,6,650.2,29.9
2022-07-14T09:10:00-04:00,2022-07-14 09:10:00,82.6,89.7,75,0.2,1.1,4.5,98,0,0,0.01,0.04,0.33,236.22,29.97,78,6,638.5,29.91
2022-07-14T09:05:00-04:00,2022-07-14 09:05:00,81.7,87.2,73.4,3.4,4.5,4.5,95,0,0,0.01,0.04,0.33,236.22,29.96,76,5,547.5,29.9
2022-07-14T09:00:00-04:00,2022-07-14 09:00:00,81.7,87.2,73.4,3.4,4.5,4.5,95,0,0,0.01,0.04,0.33,236.22,29.96,76,5,547.5,29.89
2022-07-14T08:55:00-04:00,2022-07-14 08:55:00,82.2,89.3,75.4,1.8,3.4,3.4,3,0,0.01,0.01,0.04,0.33,236.22,29.96,80,5,542.2,29.89
2022-07-14T08:50:00-04:00,2022-07-14 08:50:00,82.2,89.3,75.4,1.8,3.4,3.4,3,0,0.01,0.01,0.04,0.33,236.22,29.96,80,5,542.2,29.9
2022-07-14T08:45:00-04:00,2022-07-14 08:45:00,81.3,87.8,75.6,0.2,1.1,2.2,2,0,0.01,0.01,0.04,0.33,236.22,29.96,83,4,494.1,29.89
2022-07-14T08:40:00-04:00,2022-07-14 08:40:00,80.4,85.6,74.7,0,0,2.2,359,0,0.01,0.01,0.04,0.33,236.22,29.95,83,0,85,29.89
2022-07-14T08:35:00-04:00,2022-07-14 08:35:00,80.6,86.2,75.3,1.8,2.2,2.2,359,0,0.01,0.01,0.04,0.33,236.22,29.95,84,4,412.9,29.89
2022-07-14T08:30:00-04:00,2022-07-14 08:30:00,80.6,86.4,75.7,1.1,2.2,2.2,11,0,0.01,0.01,0.04,0.33,236.22,29.95,85,4,508.4,29.89
2022-07-14T08:25:00-04:00,2022-07-14 08:25:00,79,80.6,74.4,0.9,1.1,1.1,11,0,0.01,0.01,0.04,0.33,236.22,29.95,86,5,516.6,29.89
2022-07-14T08:20:00-04:00,2022-07-14 08:20:00,78.3,80.1,75.1,0,0,1.1,23,0,0.01,0.01,0.04,0.33,236.22,29.96,90,2,294.5,29.89
2022-07-14T08:15:00-04:00,2022-07-14 08:15:00,77.7,79.4,74.9,0,0,1.1,90,0,0.01,0.01,0.04,0.33,236.22,29.95,91,1,192.1,29.89
2022-07-14T08:10:00-04:00,2022-07-14 08:10:00,77.5,79.2,74.7,0,0,1.1,106,0,0.01,0.01,0.04,0.33,236.22,29.95,91,1,147.4,29.89
2022-07-14T08:05:00-04:00,2022-07-14 08:05:00,77,78.6,73.8,0,0,1.1,113,0,0.01,0.01,0.04,0.33,236.22,29.95,90,1,130,29.89
2022-07-14T08:00:00-04:00,2022-07-14 08:00:00,76.6,78.3,74.1,0,0,1.1,113,0.05,0.01,0.01,0.04,0.33,236.22,29.95,92,1,116.6,29.89
2022-07-14T07:55:00-04:00,2022-07-14 07:55:00,76.8,78.6,74.6,0,0,1.1,114,0.05,0.01,0.01,0.04,0.33,236.22,29.95,93,1,106.7,29.89
2022-07-14T07:50:00-04:00,2022-07-14 07:50:00,76.3,77.9,73.5,0,0,1.1,114,0,0,0,0.03,0.32,236.22,29.95,91,0,97.5,29.89
2022-07-14T07:45:00-04:00,2022-07-14 07:45:00,76.3,77.9,73.5,0,0,1.1,115,0,0,0,0.03,0.32,236.22,29.95,91,0,92.7,29.89
2022-07-14T07:40:00-04:00,2022-07-14 07:40:00,75.7,77.3,73.2,0,0,1.1,114,0,0,0,0.03,0.32,236.22,29.94,92,0,93.2,29.88
2022-07-14T07:35:00-04:00,2022-07-14 07:35:00,75.7,77.3,73.5,0,0,1.1,92,0,0,0,0.03,0.32,236.22,29.95,93,0,89.8,29.89
2022-07-14T07:30:00-04:00,2022-07-14 07:30:00,75.4,77,72.9,0,0,1.1,92,0,0,0,0.03,0.32,236.22,29.94,92,0,87.6,29.88
2022-07-14T07:25:00-04:00,2022-07-14 07:25:00,75.7,77.3,73.5,0,0,1.1,92,0,0,0,0.03,0.32,236.22,29.94,93,1,107.9,29.88
